FID,community,transaction prices,total square footage,avg square footage,total amount,volume,latitude,longitude,INPUT_FID,DISTANCE to SP,Distance to ZGC
189,309_____,61837,77.3,77.3,4780000.1,1,40.022735,116.265599,189,2529.729007,5881.101996
190,________,36065.66667,1425.13,475.0433333,51300498.93,3,40.0364821,116.2172035,190,4805.50473,9618.246494
191,_____,33565,54.7,54.7,1836005.5,1,40.05723556,116.2304334,191,4007.326016,10575.45764
192,____,38954.66667,3875.61,258.374,151111996.7,15,40.045161,116.180248,192,7599.178086,12484.78377
193,___,39432.75,758.91,63.2425,30037314.64,12,40.067949,116.163339,193,9302.730608,15056.08292
194,______,46925.00565,15385.82,86.92553672,714837704,177,40.0413104,116.2228937,194,4306.102887,9644.007656
195,______85__,47790.66667,842.85,280.95,39730548.6,3,39.998763,116.227878,195,6340.120469,6874.536676
196,_______,50472.34483,3796.67,130.9196552,189066561.1,29,40.0774689,116.2514725,196,4292.215887,11684.68876
197,_______,43320,498.55,62.31875,21730239.89,8,40.051288,116.165814,197,8754.552333,13790.60654
198,___,64000,37.5,37.5,2400000,1,40.033241,116.204136,198,5865.517227,10211.90373
199,____7__,33903.83333,499.22,83.20333333,16960249.29,6,40.10763607,116.1406068,199,12807.85816,19353.83324
200,___63__,66364,408.77,58.39571429,26580171.96,7,39.90115,116.327528,200,16276.62706,8980.071866
201,___66__,63501.6,242.38,48.476,15201103.96,5,39.899618,116.329326,201,16474.84386,9166.957619
202,____15__,75306,259.6,64.9,19126148.4,4,39.901351,116.327298,202,16250.7686,8955.719739
203,____5__,99355.08333,1095.07,91.25583333,108450617.8,12,39.9039779,116.325477,203,15934.40308,8649.537159
204,_____2__,64757.57143,443.8,63.4,28390231.8,7,39.9004,116.330646,204,16415.43082,9095.695254
205,______8__,70165.85714,1095.57,78.255,77830636.06,14,39.899924,116.328255,205,16422.16572,9122.241037
206,___,67512.6,398.17,79.634,27150197.28,5,39.904238,116.324041,206,15881.18272,8609.156776
207,____,71757.25,289.13,72.2825,21390059.63,4,39.898693,116.336626,207,16718.07704,9362.28835
208,____3__,64649.5,165.2,82.6,10680097.4,2,39.8975037,116.3385323,208,16885.39355,9521.339063
209,____6__,71241.2,559,55.9,39565304.5,10,39.904214,116.329743,209,15987.78374,8666.509562
210,___3__,81324.66667,161.9,53.96666667,13260084.6,3,39.91002059,116.3228574,210,15234.87465,7961.231248
211,_____9__,69280.42857,477.34,68.19142857,33280203.35,7,39.8972771,116.3260068,211,16668.63708,9393.603907
212,___,73108.5,428.57,53.57125,31300168.8,8,39.90676173,116.3254598,212,15633.32494,8342.264859
213,___,72244.5,117.4,58.7,8490050.7,2,39.909274,116.331789,213,15485.70274,8138.096547
214,___1__,66147.2,492.6,98.52,33080164.9,5,39.8990764,116.3169603,214,16331.42061,9145.25997
215,____,28903.75,259.68,64.92,7507140.92,4,39.899477,116.322183,215,16366.62442,9123.112665
216,_____5__,64535,192.8,64.26666667,12450048.7,3,39.90282556,116.3183038,216,15942.13774,8733.41099
217,______,63964.33333,153.87,51.29,9870092.08,3,39.90069718,116.3128364,217,16098.58482,8960.405071
218,____16__,63493,56.7,56.7,3600053.1,1,39.90208935,116.3153466,218,15979.78703,8807.54158
219,_____9__,112900.4,572.37,114.474,63980351.87,5,39.90968716,116.3219994,219,15256.11298,7992.06986
220,____,37750.66667,961.46,160.2433333,36526496.94,6,39.89743169,116.3277837,220,16682.88928,9392.235015
221,_____,64649.96774,1925.59,62.11580645,126229025.7,31,39.9077763,116.3209454,221,15445.50512,8196.996965
222,____,62221.5,224.58,112.29,14050158.9,2,39.9010917,116.3235931,222,16214.46346,8953.644511
223,___100__,58191,40.9,40.9,2380011.9,1,39.900427,116.322178,223,16263.35693,9017.919651
224,___103__,62587,57.6,57.6,3605011.2,1,39.901314,116.324451,224,16204.84503,8935.369302
225,___30__,64644.8,662.87,66.287,41868209.11,10,39.89786,116.329344,225,16664.77931,9360.534142
226,____,49904.85714,2737.63,78.218,137469515.3,35,39.887637,116.296052,226,17380.34706,10493.91322
227,____,52772.65625,3617.83,113.0571875,189713719.3,32,39.89539357,116.2989997,227,16542.31926,9611.49895
228,____10__,52467,2971.79,66.03977778,153105991.2,45,39.88821589,116.2917384,228,17293.15544,10477.72777
229,____,39553.625,3443.36,143.4733333,132666357.3,24,39.88908346,116.291355,229,17195.24613,10387.39646
230,____,61801.76471,1564.81,92.04764706,96861053.35,17,39.88919464,116.2924989,230,17188.30758,10361.18906
231,_____,47657.39024,3268.64,79.72292683,153903305.3,41,39.891026,116.296194,231,17006.12726,10119.29163
232,____,66276.25,1547.29,193.41125,97755394.77,8,39.973818,116.377573,232,10912.08528,5064.618855
233,___,56086.37931,5556.81,63.87137931,301251848.7,87,39.97038574,116.3690662,233,10745.26795,4504.567486
234,____,64592.75,526.1,65.7625,34213356.6,8,39.97027317,116.3686807,234,10735.29917,4479.272443
235,____,68709.33333,151.3,50.43333333,10340088.8,3,39.97043389,116.3698612,235,10781.51622,4562.430377
236,____,73561.42857,1048.31,149.7585714,75240423.85,7,39.973438,116.377633,236,10945.39593,5076.390862
237,_____43__,76477.76471,1162.2,68.36470588,89955579.2,17,39.971665,116.370476,237,10710.32704,4574.089886
238,______43__,71533,82.2,82.2,5880012.6,1,39.971832,116.373805,238,10869.84144,4820.891088
239,_____,69632.1,1165.11,58.2555,81093611.84,20,39.9721868,116.3700825,239,10646.79614,4531.036289
240,_____2__,67886.66667,175.81,58.60333333,12150022.37,3,39.9749709,116.37248,240,10545.47689,4654.727313
241,____,39383.63514,4832.44,65.30324324,194748755.5,74,39.96950023,116.3725432,241,10996.4037,4790.523255
242,____,69517.5,99.4,49.7,6910039.5,2,39.97044254,116.3678004,242,10676.73683,4408.537867
243,____,66337.93103,3685.39,127.0824138,240713799.9,29,40.03005106,116.2627975,243,1938.484408,6659.187711
244,_______,66764.5,2411.11,100.4629167,156951004.7,24,40.020457,116.272288,244,2622.843325,5365.592385
245,_______,57308.05556,1633.27,90.73722222,93831050.87,18,40.025772,116.272601,245,2039.80564,5839.821109
246,_______,53567.21429,2559.82,182.8442857,134751434.2,14,40.020977,116.272743,246,2559.784437,5391.875885
247,________,70167.25,932.65,116.58125,63747440.34,8,40.019878,116.279192,247,2644.156193,5014.438186
248,______,76401,477.12,159.04,36928155.6,3,40.0206337,116.2728424,248,2596.045806,5356.37632
249,____,65398,2869.64,98.95310345,182674746.6,29,40.032103,116.282863,249,1330.814369,6097.095998
250,____,57312,338.82,84.705,19380140.21,4,40.023409,116.269691,250,2351.115163,5748.951783
251,_______,51061.56522,3142.62,136.6356522,155649334.1,23,40.018894,116.292382,251,2956.579554,4461.531233
252,_____2__,64356.57143,382.1,54.58571429,24430181.6,7,40.027839,116.280374,252,1765.903444,5745.164412
253,____,61908.3,1508.92,150.892,93580933.75,10,40.02005888,116.2764078,253,2628.160304,5147.287543
254,_____3__,60110,54.9,54.9,3300039,1,40.030043,116.274288,254,1548.592692,6180.554524
255,____,52460,91.69,91.69,4810057.4,1,40.014027,116.272584,255,3324.255211,4791.989763
256,____,60341.66667,409.59,136.53,24700185.01,3,40.030111,116.29445,256,1950.927186,5598.155503
257,________,48545.33333,175.51,58.50333333,8580139.25,3,40.000401,116.263275,257,4947.448517,4396.924331
258,____,52884,261.42,87.14,14100091.56,3,40.033283,116.288323,258,1385.167885,6071.850733
259,___,42868.54545,1012.09,92.00818182,42426656.59,11,40.031393,116.273149,259,1425.097357,6354.399267
260,___________,59115.18182,707.47,64.31545455,41860353.37,11,40.021015,116.276416,260,2522.156682,5235.800301
261,____,58943.22222,3111.3,115.2333333,184136584.2,27,40.023822,116.294104,261,2516.618819,4934.680846
